YEAR,MEIC,EDGAR,EMEP
2000,0,1,1
2001,0,1,1
2002,0,1,1
2003,0,1,1
2004,0,1,1
2005,0,1,1
2006,0,1,1
2007,0,1,1
2008,1,1,0
