SOURCE,SPECIES,SECTOR,1,2,3,4,5,6,7,8,9,10,11,12
EDGAR,NOx,4C_4D,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NOx,S1,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NOx,S2,0.118559187,0.099906076,0.090769591,0.072138432,0.071475721,0.069233146,0.071654173,0.072047588,0.070021623,0.074171037,0.085774124,0.104249303
EMEP,NOx,S3,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NOx,S4,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NOx,S5,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NOx,S6,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NOx,S7,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NOx,S8,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NOx,S9,0.118559187,0.099906076,0.090769591,0.072138432,0.071475721,0.069233146,0.071654173,0.072047588,0.070021623,0.074171037,0.085774124,0.104249303
EMEP,NOx,S10,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NOx,S11,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,NOx,power,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,NOx,industry,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,NOx,residential,0.118559187,0.099906076,0.090769591,0.072138432,0.071475721,0.069233146,0.071654173,0.072047588,0.070021623,0.074171037,0.085774124,0.104249303
INTEX-B,NOx,transportation,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
NEI,NOx,ANTHSRCE,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,CO,1A1a_6,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,CO,1A2,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,CO,2C,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,CO,1B2a_c_1A1b_c,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,CO,2A_2B_2D,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,CO,1A4,0.135940716,0.107608738,0.093492657,0.066988534,0.066266566,0.064038295,0.066162221,0.066167032,0.064151657,0.069093813,0.086396493,0.113693278
EDGAR,CO,1A3a_c_d_e,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,CO,1A3b,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,CO,4F,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,CO,S1,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,CO,S2,0.135940716,0.107608738,0.093492657,0.066988534,0.066266566,0.064038295,0.066162221,0.066167032,0.064151657,0.069093813,0.086396493,0.113693278
EMEP,CO,S3,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,CO,S4,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,CO,S5,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,CO,S6,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,CO,S7,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,CO,S8,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,CO,S9,0.135940716,0.107608738,0.093492657,0.066988534,0.066266566,0.064038295,0.066162221,0.066167032,0.064151657,0.069093813,0.086396493,0.113693278
EMEP,CO,S10,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,CO,S11,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,CO,power,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,CO,industry,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,CO,residential,0.135940716,0.107608738,0.093492657,0.066988534,0.066266566,0.064038295,0.066162221,0.066167032,0.064151657,0.069093813,0.086396493,0.113693278
INTEX-B,CO,transportation,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
NEI,CO,ANTHSRCE,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NMVOC,1A1a,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NMVOC,1A2,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NMVOC,1A1b_c_1B_2C1_2C2,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NMVOC,2A_B_D_E_F_G,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NMVOC,3,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NMVOC,1A4,0.110497392,0.094233996,0.088692365,0.074487071,0.075332597,0.072910441,0.075247008,0.07525612,0.072987791,0.07681855,0.084279303,0.099257367
EDGAR,NMVOC,6A_6C,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NMVOC,1A3a_c_d_e,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NMVOC,1A3b,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NMVOC,4F,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NMVOC,S1,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NMVOC,S2,0.110497392,0.094233996,0.088692365,0.074487071,0.075332597,0.072910441,0.075247008,0.07525612,0.072987791,0.07681855,0.084279303,0.099257367
EMEP,NMVOC,S3,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NMVOC,S4,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NMVOC,S5,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NMVOC,S6,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NMVOC,S7,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NMVOC,S8,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NMVOC,S9,0.110497392,0.094233996,0.088692365,0.074487071,0.075332597,0.072910441,0.075247008,0.07525612,0.072987791,0.07681855,0.084279303,0.099257367
EMEP,NMVOC,S10,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NMVOC,S11,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,NMVOC,power,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,NMVOC,industry,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,NMVOC,residential,0.110497392,0.094233996,0.088692365,0.074487071,0.075332597,0.072910441,0.075247008,0.07525612,0.072987791,0.07681855,0.084279303,0.099257367
INTEX-B,NMVOC,transportation,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NH3,1A1a_6,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NH3,1A2,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NH3,1A1b_c,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NH3,2A,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NH3,2B,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NH3,4B,0.073859829,0.07033869,0.075501754,0.082841023,0.089919734,0.094559615,0.094291435,0.098477318,0.084154599,0.078552308,0.079628296,0.077875397
EDGAR,NH3,4C_4D,0.073859829,0.07033869,0.075501754,0.082841023,0.089919734,0.094559615,0.094291435,0.098477318,0.084154599,0.078552308,0.079628296,0.077875397
EDGAR,NH3,1A4,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EDGAR,NH3,1A3,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NH3,S1,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NH3,S2,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NH3,S3,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NH3,S4,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NH3,S5,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NH3,S6,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NH3,S7,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NH3,S8,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NH3,S9,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
EMEP,NH3,S10,0.073859829,0.07033869,0.075501754,0.082841023,0.089919734,0.094559615,0.094291435,0.098477318,0.084154599,0.078552308,0.079628296,0.077875397
EMEP,NH3,S11,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
