SPECIES,SOURCE,SECTOR,SOURCESECTORS
NH3,EDGAR,PO,1A1a_6
NH3,EDGAR,IN,"1A2, 1A1b_c, 2A, 2B"
NH3,EDGAR,RE,1A4
NH3,EDGAR,TR,1A3
NH3,EDGAR,AG,"4B,4C_4D "
,,,
NH3,EMEP,PO,S1
NH3,EMEP,IN,"S3, S4, S5, S6"
NH3,EMEP,RE,"S2, S9"
NH3,EMEP,TR,"S7, S8"
NH3,EMEP,AG,S10
,,,
NH3,MEIC,PO,power
NH3,MEIC,IN,industry
NH3,MEIC,RE,residential
NH3,MEIC,TR,transportation
NH3,MEIC,AG,agriculture
,,,
NH3,INTEX-B,PO,power
NH3,INTEX-B,IN,industry
NH3,INTEX-B,RE,residential
NH3,INTEX-B,TR,transportation
NH3,INTEX-B,AG,agriculture
,,,
NH3,MICS_Asia,PO,POWER
NH3,MICS_Asia,IN,INDUSTRY
NH3,MICS_Asia,RE,RESIDENTIAL
NH3,MICS_Asia,TR,TRANSPORT
NH3,MICS_Asia,AG,AGRICULTURE
