SPECIES,SOURCE,SECTOR,SOURCESECTORS
NH3,EDGAR,PO,A
NH3,EDGAR,IN,"A, B"
NH3,EDGAR,RE,C
NH3,EDGAR,TR,D
NH3,EDGAR,AG,D
,,,
NH3,EMEP,PO,S1
NH3,EMEP,IN,"S3, S4, S5, S6"
NH3,EMEP,RE,S2
NH3,EMEP,TR,"S7, S8"
NH3,EMEP,AG,S8
,,,
NH3,MEIC,PO,M1
NH3,MEIC,IN,M2
NH3,MEIC,RE,M3
NH3,MEIC,TR,M4
NH3,MEIC,AG,
,,,
NMVOC,EDGAR,PO,A
NMVOC,EDGAR,IN,"A, B"
NMVOC,EDGAR,RE,C
NMVOC,EDGAR,TR,D
NMVOC,EDGAR,AG,D
,,,
NMVOC,EMEP,PO,S1
NMVOC,EMEP,IN,"S3, S4, S5, S6"
NMVOC,EMEP,RE,S2
NMVOC,EMEP,TR,"S7, S8"
NMVOC,EMEP,AG,S8
,,,
NMVOC,MEIC,PO,M1
NMVOC,MEIC,IN,M2
NMVOC,MEIC,RE,M3
NMVOC,MEIC,TR,M4
NMVOC,MEIC,AG,
